01	4902470648310346
02	4550424014170482
03	4966138328498425
04	4920022288373262
05	4798504687694637
06	4339648234598175
07	5459670128473720
08	5434924036741607
09	5449222799561871
10	5222846038227135
11	5481539357502958
12	5449616980399191
13	6011545995057229
14	6011089843867125
15	6011764553790820
16	6011413905344320
17	3569547614330899
18	3588149795128551
19	3569171816203083
20	3589676387233893
01f	4902470648310345
02f	4550424014170483
03f	4966138328498426
04f	4920022288373263
05f	4798504687694638
06f	4339648234598174
07f	5459670128473721
08f	5434924036741608
09f	5449222799561872
10f	5222846038227136
11f	5481539357502959
12f	5449616980399192
13f	6011545995057220
14f	6011089843867124
15f	6011764553790821
16f	6011413905344321
17f	3569547614330890
18f	3588149795128552

19f	3569171816203084
20f	3589676387233892
